month,business_unit,budget,forecast,actual,variance,revenue,cost,margin,kpi_status
2026-01,France Retail,420000,430000,438000,18000,615000,402000,213000,On track
2026-01,Digital,280000,295000,310000,30000,475000,267000,208000,Above target
2026-01,B2B,350000,345000,332000,-18000,468000,321000,147000,At risk
2026-02,France Retail,425000,418000,409000,-16000,590000,397000,193000,At risk
2026-02,Digital,290000,305000,319000,29000,492000,274000,218000,Above target
2026-02,B2B,355000,360000,366000,11000,505000,339000,166000,On track
2026-03,France Retail,430000,442000,451000,21000,638000,411000,227000,Above target
2026-03,Digital,300000,315000,328000,28000,510000,282000,228000,Above target
2026-03,B2B,360000,350000,341000,-19000,479000,330000,149000,At risk
2026-04,France Retail,435000,438000,429000,-6000,612000,405000,207000,On track
2026-04,Digital,310000,325000,337000,27000,526000,290000,236000,Above target
2026-04,B2B,365000,372000,378000,13000,521000,346000,175000,On track
2026-05,France Retail,440000,452000,459000,19000,651000,420000,231000,Above target
2026-05,Digital,320000,335000,349000,29000,548000,301000,247000,Above target
2026-05,B2B,370000,355000,342000,-28000,471000,334000,137000,At risk
