project_id,project_name,department,status,budget,estimated_roi,environmental_impact_score,start_date,end_date,risk_level,owner,progress
P001,Predictive Maintenance,Operations,On track,180000,1.45,78,2026-01-10,2026-10-31,Low,A. Martin,62
P002,Customer Data Hub,Marketing,At risk,240000,1.80,55,2026-02-01,2026-12-15,High,S. Diallo,31
P003,Green Logistics,Supply Chain,On track,150000,1.25,92,2026-01-20,2026-09-30,Medium,L. Bernard,70
P004,Finance Automation,Finance,Completed,95000,2.10,63,2025-09-01,2026-03-31,Low,M. Robert,100
P005,HR Skills Copilot,Human Resources,Delayed,120000,1.15,48,2026-03-01,2026-11-30,High,C. Petit,18
P006,Packaging Compliance,Quality,On track,135000,1.35,88,2026-02-15,2026-08-31,Medium,N. Traore,74
P007,Executive BI,Finance,At risk,210000,1.60,58,2026-01-05,2026-07-31,High,J. Leroy,44
P008,Smart Energy,Facilities,On track,320000,1.30,97,2026-04-01,2027-03-31,Medium,E. Moreau,22
P009,Sales Forecasting,Sales,On track,175000,1.75,61,2026-03-10,2026-10-15,Low,R. Simon,49
P010,Document Intelligence,Legal,Delayed,145000,1.20,52,2026-01-25,2026-06-30,High,,36
P011,Supplier Risk Scoring,Procurement,Planned,110000,1.40,73,2026-07-01,2027-01-31,Medium,F. Laurent,0
P012,Data Catalog,IT,On track,260000,1.55,66,2026-02-01,2026-12-31,Medium,K. Nguyen,41
